2015 Order,2008 Order,2004Order,Name,Company,2008Cat,2008CatName,2008Sub,2008SubName,2015 Cat,2015CatName,2015 Sub,2015SubName,2015 Sort,Date,Source
DEL,243,195,Black Sheep Ale,Black Sheep,08,English Pale Ale,C,Extra Special/Strong Bitter,,,,,,2004,CLASSIC
DEL,244,196,Vintage Henley,Vintage Henley,08,English Pale Ale,C,Extra Special/Strong Bitter,,,,,,2004,CLASSIC
DEL,245,197,Mordue Workie Ticket,Mordue,08,English Pale Ale,C,Extra Special/Strong Bitter,,,,,,2004,CLASSIC
DEL,246,198,Morland Old Speckled Hen,Morland,08,English Pale Ale,C,Extra Special/Strong Bitter,,,,,,2004,CLASSIC
DEL,247,199,Greene King Abbot Ale,Greene King,08,English Pale Ale,C,Extra Special/Strong Bitter,,,,,,2004,CLASSIC
DEL,248,200,Bateman's XXXB,Bateman's,08,English Pale Ale,C,Extra Special/Strong Bitter,,,,,,2004,CLASSIC
DEL,249,201,Gale's Hordean Special Bitter (HSB),Gale's,08,English Pale Ale,C,Extra Special/Strong Bitter,,,,,,2004,CLASSIC
DEL,250,202,Ushers 1824 Particular Ale,Ushers,08,English Pale Ale,C,Extra Special/Strong Bitter,,,,,,2004,CLASSIC
DEL,252,205,Great Lakes Moondog Ale,Great Lakes,08,English Pale Ale,C,Extra Special/Strong Bitter,,,,,,2004,CLASSIC
DEL,253,206,Shipyard Old Thumper,Shipyard,08,English Pale Ale,C,Extra Special/Strong Bitter,,,,,,2004,CLASSIC
DEL,254,207,Alaskan ESB,Alaskan,08,English Pale Ale,C,Extra Special/Strong Bitter,,,,,,2004,CLASSIC
DEL,255,208,Geary's Pale Ale,Geary's,08,English Pale Ale,C,Extra Special/Strong Bitter,,,,,,2004,CLASSIC
DEL,256,209,Cooperstown Old Slugger ,Cooperstown,08,English Pale Ale,C,Extra Special/Strong Bitter,,,,,,2004,CLASSIC
DEL,257,ADD,Avery 14'er ESB,Avery,08,English Pale Ale,C,Extra Special/Strong Bitter,,,,,,2008,CLASSIC
DEL,258,204,Redhook ESB,Redhook,08,English Pale Ale,C,Extra Special/Strong Bitter,,,,,,2004,CLASSIC
DEL,259,210,Belhaven 60/- (cask-only),Belhaven,09,Scottish and Irish Ales,A,Scottish Light 60/-,,,,,,2004,CLASSIC
DEL,261,212,Maclay 60/- Light (cask-only),Maclay,09,Scottish and Irish Ales,A,Scottish Light 60/-,,,,,,2004,CLASSIC
DEL,262,213,Caledonian 70/-,Caledonian,09,Scottish and Irish Ales,B,Scottish Heavy 70/-,,,,,,2004,CLASSIC
DEL,263,214,Caledonian Amber Ale (in US),Caledonian,09,Scottish and Irish Ales,B,Scottish Heavy 70/-,,,,,,2004,CLASSIC
DEL,264,215,Belhaven 70/-,Belhaven,09,Scottish and Irish Ales,B,Scottish Heavy 70/-,,,,,,2004,CLASSIC
DEL,266,217,Maclay 70/- ,Maclay,09,Scottish and Irish Ales,B,Scottish Heavy 70/-,,,,,,2004,CLASSIC
DEL,270,223,Caledonian 80/- Export Ale,Caledonian,09,Scottish and Irish Ales,C,Scottish Export 80/-,,,,,,2004,CLASSIC
DEL,271,219,Belhaven 80/-,Belhaven,09,Scottish and Irish Ales,C,Scottish Export 80/-,,,,,,2004,CLASSIC
DEL,273,ADD,Southampton 80 Shilling,Southampton,09,Scottish and Irish Ales,C,Scottish Export 80/-,,,,,,2008,CLASSIC
DEL,275,221,Belhaven St. Andrews Ale,Belhaven,09,Scottish and Irish Ales,C,Scottish Export 80/-,,,,,,2004,CLASSIC
DEL,276,222,McEwan's Export (IPA),McEwan's,09,Scottish and Irish Ales,C,Scottish Export 80/-,,,,,,2004,CLASSIC
DEL,277,ADD,Inveralmond Lia Fail,Inveralmond,09,Scottish and Irish Ales,C,Scottish Export 80/-,,,,,,2008,CLASSIC
DEL,278,224,Broughton Merlin's Ale,Broughton,09,Scottish and Irish Ales,C,Scottish Export 80/-,,,,,,2004,CLASSIC
DEL,279,ADD,Arran Dark,Arran,09,Scottish and Irish Ales,C,Scottish Export 80/-,,,,,,2008,CLASSIC
DEL,280,ADD,Three Floyds Brian Boru Old Irish Ale,Three Floyds,09,Scottish and Irish Ales,D,Irish Red Ale,,,,,,2008,CLASSIC
DEL,281,ADD,Great Lakes Conway's Irish Ale,Great Lakes,09,Scottish and Irish Ales,D,Irish Red Ale,,,,,,2008,CLASSIC
DEL,285,229,Beamish Red Ale,Beamish Stout,09,Scottish and Irish Ales,D,Irish Red Ale,,,,,,2004,CLASSIC
DEL,287,231,Goose Island Kilgubbin Red Ale,Goose Island,09,Scottish and Irish Ales,D,Irish Red Ale,,,,,,2004,CLASSIC
DEL,288,232,Murphy's Irish Red (lager),Murphy,09,Scottish and Irish Ales,D,Irish Red Ale,,,,,,2004,CLASSIC
DEL,289,233,Boulevard Irish Ale,Boulevard,09,Scottish and Irish Ales,D,Irish Red Ale,,,,,,2004,CLASSIC
DEL,290,234,Harpoon Hibernian Ale ,Harpoon,09,Scottish and Irish Ales,D,Irish Red Ale,,,,,,2004,CLASSIC
DEL,294,243,Founder's Dirty Bastard ,Founder's,09,Scottish and Irish Ales,E,Strong Scotch Ale,,,,,,2004,CLASSIC
DEL,295,238,MacAndrew's Scotch Ale,MacAndrew's,09,Scottish and Irish Ales,E,Strong Scotch Ale,,,,,,2004,CLASSIC
DEL,296,ADD,AleSmith Wee Heavy,AleSmith,09,Scottish and Irish Ales,E,Strong Scotch Ale,,,,,,2008,CLASSIC
DEL,299,240,Broughton Old Jock,Broughton,09,Scottish and Irish Ales,E,Strong Scotch Ale,,,,,,2004,CLASSIC
DEL,301,ADD,Dragonmead Under the Kilt,Dragonmead,09,Scottish and Irish Ales,E,Strong Scotch Ale,,,,,,2008,CLASSIC
DEL,305,ADD,Bear Republic XP Pale Ale,Bear Republic,10,American Ale,A,American Pale Ale,,,,,,2008,CLASSIC
DEL,306,249,Anderson Valley Poleeko Gold Pale Ale,Anderson Valley,10,American Ale,A,American Pale Ale,,,,,,2004,CLASSIC
DEL,307,252,Deschutes Mirror Pond ,Deschutes,10,American Ale,A,American Pale Ale,,,,,,2004,CLASSIC
DEL,308,247,Full Sail Pale Ale,Full Sail,10,American Ale,A,American Pale Ale,,,,,,2004,CLASSIC
DEL,309,248,Three Floyds X-Tra Pale Ale,Three Floyds,10,American Ale,A,American Pale Ale,,,,,,2004,CLASSIC
DEL,310,ADD,Firestone Pale Ale,Firestone,10,American Ale,A,American Pale Ale,,,,,,2008,CLASSIC
DEL,311,250,Left Hand Brewing Jackman's Pale Ale,Left Hand,10,American Ale,A,American Pale Ale,,,,,,2004,CLASSIC
DEL,315,ADD,Pyramid Broken Rake,Pyramid,10,American Ale,B,American Amber Ale,,,,,,2008,CLASSIC
DEL,316,255,St. Rogue Red Ale,St. Rogue,10,American Ale,B,American Amber Ale,,,,,,2004,CLASSIC
DEL,317,257,Anderson Valley Boont Amber Ale,Anderson Valley,10,American Ale,B,American Amber Ale,,,,,,2004,CLASSIC
DEL,318,ADD,Lagunitas Censored Ale,Lagunitas,10,American Ale,B,American Amber Ale,,,,,,2008,CLASSIC
DEL,319,256,Avery Redpoint Ale,Avery,10,American Ale,B,American Amber Ale,,,,,,2004,CLASSIC
DEL,320,260,McNeill's Firehouse Amber Ale ,McNeill's,10,American Ale,B,American Amber Ale,,,,,,2004,CLASSIC
DEL,321,253,Mendocino Red Tail Ale,Mendocino,10,American Ale,B,American Amber Ale,,,,,,2004,CLASSIC
DEL,322,258,Bell's Amber,Bell's,10,American Ale,B,American Amber Ale,,,,,,2004,CLASSIC
DEL,326,266,North Coast Acme Brown,North Coast,10,American Ale,C,American Brown Ale,,,,,,2004,CLASSIC
DEL,328,267,Lost Coast Downtown Brown,Lost Coast,10,American Ale,C,American Brown Ale,,,,,,2004,CLASSIC
DEL,329,264,Left Hand Deep Cover Brown Ale,Left Hand,10,American Ale,C,American Brown Ale,,,,,,2004,CLASSIC
DEL,331,274,Gale's Festival Mild,Gale's,11,English Brown Ale,A,Mild,,,,,,2004,CLASSIC
DEL,334,ADD,Sainsbury Mild,Sainsbury,11,English Brown Ale,A,Mild,,,,,,2008,CLASSIC
DEL,337,273,Coach House Gunpowder Strong Mild,Coach House,11,English Brown Ale,A,Mild,,,,,,2004,CLASSIC
DEL,338,ADD,Woodforde's Mardler's Mild,Woodforde's,11,English Brown Ale,A,Mild,,,,,,2008,CLASSIC
DEL,339,ADD,Greene King XX Mild,Greene King,11,English Brown Ale,A,Mild,,,,,,2008,CLASSIC
DEL,340,ADD,Motor City Brewing Ghettoblaster,Motor City Brewing,11,English Brown Ale,A,Mild,,,,,,2008,CLASSIC
DEL,342,ADD,Harvey's Nut Brown Ale,Harvey's,11,English Brown Ale,B,Southern English Brown,,,,,,2008,CLASSIC
DEL,343,275,Woodforde's Norfolk Nog,Woodforde's,11,English Brown Ale,B,Southern English Brown,,,,,,2008,CLASSIC
DEL,348,ADD,Tröegs Rugged Trail Ale,Tröegs,11,English Brown Ale,C,Northern English Brown Ale,,,,,,2008,CLASSIC
DEL,349,ADD,Alesmith Nautical Nut Brown Ale,AleSmith,11,English Brown Ale,C,Northern English Brown Ale,,,,,,2008,CLASSIC
DEL,350,ADD,Avery Ellie's Brown Ale,Avery,11,English Brown Ale,C,Northern English Brown Ale,,,,,,2008,CLASSIC
DEL,351,281,Goose Island Hex Nut Brown Ale ,Goose Island,11,English Brown Ale,C,Northern English Brown Ale,,,,,,2004,CLASSIC
DEL,352,ADD,Samuel Adams Brown Ale,Boston Beer Co.,11,English Brown Ale,C,Northern English Brown Ale,,,,,,2008,CLASSIC
DEL,358,ADD,Hambleton Nightmare Porter,Hambleton,12,Porter,A,Brown Porter,,,,,,2008,CLASSIC
DEL,359,ADD,Harvey's Tom Paine Original Old Porter,Harvey's,12,Porter,A,Brown Porter,,,,,,2008,CLASSIC
DEL,360,ADD,Salopian Entire Butt English Porter,Salopian,12,Porter,A,Brown Porter,,,,,,2008,CLASSIC
DEL,361,287,St. Peter's Old-Style Porter,St. Peter's,12,Porter,A,Brown Porter,,,,,,2004,CLASSIC
DEL,362,289,Shepherd Neame Original Porter,Shepherd Neame,12,Porter,A,Brown Porter,,,,,,2004,CLASSIC
DEL,363,290,Flag Porter,Flag,12,Porter,A,Brown Porter,,,,,,2004,CLASSIC
DEL,364,ADD,Wasatch Polygamy Porter,Wasatch,12,Porter,A,Brown Porter,,,,,,2008,CLASSIC
DEL,366,ADD,Meantime London Porter,Meantime,12,Porter,B,Robust Porter,,,,,,2008,CLASSIC
DEL,372,ADD,Rogue Mocha Porter,Rogue,12,Porter,B,Robust Porter,,,,,,2008,CLASSIC
DEL,373,300,Avery New World Porter,Avery,12,Porter,B,Robust Porter,,,,,,2004,CLASSIC
DEL,374,296,Bell's Porter,Bell's,12,Porter,B,Robust Porter,,,,,,2004,CLASSIC
DEL,375,ADD,Great Divide Saint Bridget's Porter,Great Divide,12,Porter,B,Robust Porter,,,,,,2008,CLASSIC
DEL,380,306,Carnegie Stark Porter (Sweden),Carnegie,12,Porter,C,Baltic Porter,,,,,,2004,CLASSIC
DEL,382,309,Utenos Porter (Lithuania),Utenos,12,Porter,C,Baltic Porter,,,,,,2004,CLASSIC
DEL,383,311,Stepan Razin Porter (Russia) ,Stepan Razin,12,Porter,C,Baltic Porter,,,,,,2004,CLASSIC
DEL,384,ADD,Nøgne ø porter (Norway),Nøgne,12,Porter,C,Baltic Porter,,,,,,2008,CLASSIC
DEL,385,ADD,Neuzeller Kloster-Bräu Neuzeller Porter (Germany),Neuzeller,12,Porter,C,Baltic Porter,,,,,,2008,CLASSIC
DEL,386,ADD,Southampton Imperial Baltic Porter,Southampton,12,Porter,C,Baltic Porter,,,,,,2008,CLASSIC
DEL,391,ADD,Russian River O.V.L. Stout,Russian River,13,Stout,A,Dry Stout,,,,,,2008,CLASSIC
DEL,392,ADD,Three Floyd's Black Sun Stout,Three Floyds,13,Stout,A,Dry Stout,,,,,,2008,CLASSIC
DEL,393,316,Dorothy Goodbody's Wholesome Stout,Dorothy Goodbody's,13,Stout,A,Dry Stout,,,,,,2004,CLASSIC
DEL,394,317,Orkney Dragonhead Stout,Orkney,13,Stout,A,Dry Stout,,,,,,2004,CLASSIC
DEL,395,319,Old Dominion Stout,Old Dominion,13,Stout,A,Dry Stout,,,,,,2004,CLASSIC
DEL,396,320,Goose Island Dublin Stout,Goose Island,13,Stout,A,Dry Stout,,,,,,2004,CLASSIC
DEL,397,318,Brooklyn Dry Stout,Brooklyn,13,Stout,A,Dry Stout,,,,,,2004,CLASSIC
DEL,399,323,Watney's Cream Stout,Watney's,13,Stout,B,Sweet Stout,,,,,,2004,CLASSIC
DEL,400,ADD,Farson's Lacto Stout,Farson's,13,Stout,B,Sweet Stout,,,,,,2008,CLASSIC
DEL,401,324,St. Peter's Cream Stout,St. Peter's,13,Stout,B,Sweet Stout,,,,,,2004,CLASSIC
DEL,404,ADD,Hitachino Nest Sweet Stout (Lacto),Hitachino,13,Stout,B,Sweet Stout,,,,,,2008,CLASSIC
DEL,407,ADD,Widmer Snowplow Milk Stout,Widmer,13,Stout,B,Sweet Stout,,,,,,2008,CLASSIC
DEL,410,ADD,McAuslan Oatmeal Stout,McAuslan,13,Stout,C,Oatmeal Stout,,,,,,2008,CLASSIC
DEL,411,330,Maclay's Oat Malt Stout,Maclay,13,Stout,C,Oatmeal Stout,,,,,,2004,CLASSIC
DEL,412,331,Broughton Kinmount Willie Oatmeal Stout,Broughton,13,Stout,C,Oatmeal Stout,,,,,,2004,CLASSIC
DEL,414,ADD,Tröegs Oatmeal Stout,Tröegs,13,Stout,C,Oatmeal Stout,,,,,,2008,CLASSIC
DEL,415,ADD,New Holland The Poet,New Holland,13,Stout,C,Oatmeal Stout,,,,,,2008,CLASSIC
DEL,416,333,Goose Island Oatmeal Stout,Goose Island,13,Stout,C,Oatmeal Stout,,,,,,2004,CLASSIC
DEL,417,ADD,Wolaver's Oatmeal Stout,Wolaver's,13,Stout,C,Oatmeal Stout,,,,,,2008,CLASSIC
DEL,418,334,McAuslan Oatmeal Stout,McAuslan,13,Stout,C,Oatmeal Stout,,,,,,2004,CLASSIC
DEL,424,345,Freeminer Deep Shaft Stout (Export),Freeminer,13,Stout,D,Foreign Extra Stout,,,,,,2004,CLASSIC
DEL,428,ADD,Elysian Dragonstooth Stout,Elysian,13,Stout,D,Foreign Extra Stout,,,,,,2008,CLASSIC
DEL,433,ADD,Bar Harbor Cadillac Mountain Stout,Bar Harbor,13,Stout,E,American Stout,,,,,,2008,CLASSIC
DEL,435,ADD,Lost Coast 8 Ball Stout,Lost Coast,13,Stout,E,American Stout,,,,,,2008,CLASSIC
DEL,436,352,Mad River Steelhead Extra Stout,Mad River,13,Stout,E,American Stout,,,,,,2004,CLASSIC
DEL,437,ADD,Three Floyd's Dark Lord,Three Floyds,13,Stout,F,Russian Imperial Stout,,,,,,2008,CLASSIC
DEL,440,366,Stone Imperial Stout,Stone,13,Stout,F,Russian Imperial Stout,,,,,,2004,CLASSIC
DEL,442,ADD,Scotch Irish Tsarina Katarina Imperial Stout,?,13,Stout,F,Russian Imperial Stout,,,,,,2008,CLASSIC
DEL,443,365,Thirsty Dog Siberian Night,Thirsty Dog,13,Stout,F,Russian Imperial Stout,,,,,,2004,CLASSIC
DEL,444,ADD,Deschutes The Abyss,Deschutes,13,Stout,F,Russian Imperial Stout,,,,,,2008,CLASSIC
DEL,446,ADD,Southampton Russian Imperial Stout,Southampton,13,Stout,F,Russian Imperial Stout,,,,,,2008,CLASSIC
DEL,447,360,Rogue Imperial Stout,Rogue,13,Stout,F,Russian Imperial Stout,,,,,,2004,CLASSIC
DEL,448,ADD,Bear Republic Big Bear Black Stout,Bear Republic,13,Stout,F,Russian Imperial Stout,,,,,,2008,CLASSIC
DEL,449,370,Great Lakes Blackout Stout ,Great Lakes,13,Stout,F,Russian Imperial Stout,,,,,,2004,CLASSIC
DEL,450,367,Avery The Czar,Avery,13,Stout,F,Russian Imperial Stout,,,,,,2004,CLASSIC
DEL,451,368,Founder's Imperial Stout,Founder's,13,Stout,F,Russian Imperial Stout,,,,,,2004,CLASSIC
DEL,452,362,Victory Storm King,Victory,13,Stout,F,Russian Imperial Stout,,,,,,2004,CLASSIC
DEL,453,359,Brooklyn Black Chocolate Stout,Brooklyn,13,Stout,F,Russian Imperial Stout,,,,,,2004,CLASSIC
DEL,456,375,Fuller's IPA,Fuller's,14,India Pale Ale,A,English IPA,,,,,,2004,CLASSIC
DEL,457,ADD,Ridgeway Bad Elf,Ridgeway,14,India Pale Ale,A,English IPA,,,,,,2008,CLASSIC
DEL,458,ADD,Summit India Pale Ale,Summit,14,India Pale Ale,A,English IPA,,,,,,2008,CLASSIC
DEL,459,374,Samuel Smith's India Ale,Samuel Smith's,14,India Pale Ale,A,English IPA,,,,,,2004,CLASSIC
DEL,460,372,Hampshire Pride of Romsey IPA,Hampshire,14,India Pale Ale,A,English IPA,,,,,,2004,CLASSIC
DEL,461,373,Burton Bridge Empire IPA,Burton Bridge,14,India Pale Ale,A,English IPA,,,,,,2004,CLASSIC
DEL,462,ADD,Middle Ages ImPailed Ale,Middle Ages,14,India Pale Ale,A,English IPA,,,,,,2008,CLASSIC
DEL,463,379,Goose Island IPA ,Goose Island,14,India Pale Ale,A,English IPA,,,,,,2004,CLASSIC
DEL,464,377,Brooklyn East India Pale Ale,Brooklyn,14,India Pale Ale,A,English IPA,,,,,,2004,CLASSIC
DEL,466,ADD,AleSmith IPA,AleSmith,14,India Pale Ale,B,American IPA,,,,,,2008,CLASSIC
DEL,469,385,Three Floyds Alpha King,Three Floyds,14,India Pale Ale,B,American IPA,,,,,,2004,CLASSIC
DEL,470,ADD,Great Divide Titan IPA,Great Divide,14,India Pale Ale,B,American IPA,,,,,,2008,CLASSIC
DEL,471,ADD,Bear Republic Racer 5 IPA,Bear Republic,14,India Pale Ale,B,American IPA,,,,,,2008,CLASSIC
DEL,472,381,Victory Hop Devil,Victory,14,India Pale Ale,B,American IPA,,,,,,2004,CLASSIC
DEL,473,384,Sierra Nevada Celebration Ale,Sierra Nevada,14,India Pale Ale,B,American IPA,,,,,,2004,CLASSIC
DEL,474,382,Anderson Valley Hop Ottin',Anderson Valley,14,India Pale Ale,B,American IPA,,,,,,2004,CLASSIC
DEL,475,ADD,Dogfish Head 60-minute IPA,Dogfish Head,14,India Pale Ale,B,American IPA,,,,,,2008,CLASSIC
DEL,476,389,Founder's Centennial IPA,Founder's,14,India Pale Ale,B,American IPA,,,,,,2004,CLASSIC
DEL,477,383,Anchor Liberty Ale,Anchor,14,India Pale Ale,B,American IPA,,,,,,2004,CLASSIC
DEL,478,386,Harpoon IPA,Harpoon,14,India Pale Ale,B,American IPA,,,,,,2004,CLASSIC
DEL,479,388,Avery IPA,Avery,14,India Pale Ale,B,American IPA,,,,,,2004,CLASSIC
DEL,483,ADD,Bell's Hop Slam,Bell's,14,India Pale Ale,C,Imperial IPA,,,,,,2008,CLASSIC
DEL,485,ADD,Great Divide Hercules Double IPA,Great Divide,14,India Pale Ale,C,Imperial IPA,,,,,,2008,CLASSIC
DEL,486,ADD,Surly Furious,Surly,14,India Pale Ale,C,Imperial IPA,,,,,,2008,CLASSIC
DEL,487,392,Rogue I2PA,Rogue,14,India Pale Ale,C,Imperial IPA,,,,,,2004,CLASSIC
DEL,488,ADD,Moylan's Hopsickle Imperial India Pale Ale,Moylan's,14,India Pale Ale,C,Imperial IPA,,,,,,2008,CLASSIC
DEL,489,ADD,Stoudt's Double IPA,Stoudt's,14,India Pale Ale,C,Imperial IPA,,,,,,2008,CLASSIC
DEL,490,391,Dogfish Head 90-minute IPA,Dogfish Head,14,India Pale Ale,C,Imperial IPA,,,,,,2004,CLASSIC
DEL,491,ADD,Victory Hop Wallop,Victory,14,India Pale Ale,C,Imperial IPA,,,,,,2008,CLASSIC
DEL,493,ADD,Schneider Weisse Weizenhell,Schneider,15,German Wheat and Rye Beer,A,Weizen/Weissbier,,,,,,2008,CLASSIC
DEL,494,400,Paulaner Hefe-Weizen,Paulaner,15,German Wheat and Rye Beer,A,Weizen/Weissbier,,,,,,2004,CLASSIC
DEL,496,ADD,Plank Bavarian Hefeweizen,Plank,15,German Wheat and Rye Beer,A,Weizen/Weissbier,,,,,,2008,CLASSIC
DEL,498,ADD,Ettaler Weissbier Hell,Ettaler,15,German Wheat and Rye Beer,A,Weizen/Weissbier,,,,,,2008,CLASSIC
DEL,499,402,Franziskaner Hefe-Weisse,Franziskaner,15,German Wheat and Rye Beer,A,Weizen/Weissbier,,,,,,2004,CLASSIC
DEL,500,ADD,Andechser Weissbier Hefetrüb,Andescher,15,German Wheat and Rye Beer,A,Weizen/Weissbier,,,,,,2008,CLASSIC
DEL,501,ADD,Kapuziner Weissbier,Kapuziner,15,German Wheat and Rye Beer,A,Weizen/Weissbier,,,,,,2008,CLASSIC
DEL,502,ADD,Erdinger Weissbier,Erdinger,15,German Wheat and Rye Beer,A,Weizen/Weissbier,,,,,,2008,CLASSIC
DEL,503,403,Penn Weizen,Penn,15,German Wheat and Rye Beer,A,Weizen/Weissbier,,,,,,2004,CLASSIC
DEL,504,407,Barrelhouse Hocking Hills HefeWeizen,Barrelhouse,15,German Wheat and Rye Beer,A,Weizen/Weissbier,,,,,,2004,CLASSIC
DEL,505,ADD,Eisenbahn Weizenbier,Eisenbahn,15,German Wheat and Rye Beer,A,Weizen/Weissbier,,,,,,2008,CLASSIC
DEL,509,ADD,Schneider Weisse (Original),Schneider,15,German Wheat and Rye Beer,B,Dunkelweizen,,,,,,2008,CLASSIC
DEL,513,ADD,Edelweiss Dunkel Weissbier,Edelweiss,15,German Wheat and Rye Beer,B,Dunkelweizen,,,,,,2008,CLASSIC
DEL,514,ADD,Erdinger Weissbier Dunkel,Erdinger,15,German Wheat and Rye Beer,B,Dunkelweizen,,,,,,2008,CLASSIC
DEL,515,ADD,Kapuziner Weissbier Schwarz,Kapuziner,15,German Wheat and Rye Beer,B,Dunkelweizen,,,,,,2008,CLASSIC
DEL,517,415,Schneider Aventinus Eisbock,Schneider,15,German Wheat and Rye Beer,C,Weizenbock,,,,,,2004,CLASSIC
DEL,519,ADD,Plank Bavarian Heller Weizenbock,Plank,15,German Wheat and Rye Beer,C,Weizenbock,,,,,,2008,CLASSIC
DEL,520,ADD,AleSmith Weizenbock,AleSmith,15,German Wheat and Rye Beer,C,Weizenbock,,,,,,2008,CLASSIC
DEL,521,416,Erdinger Pikantus,Erdinger,15,German Wheat and Rye Beer,C,Weizenbock,,,,,,2004,CLASSIC
DEL,522,417,Mahr's Der Weisse Bock,Mahr's,15,German Wheat and Rye Beer,C,Weizenbock,,,,,,2004,CLASSIC
DEL,523,ADD,Victory Moonglow Weizenbock,Victory,15,German Wheat and Rye Beer,C,Weizenbock,,,,,,2008,CLASSIC
DEL,524,ADD,High Point Ramstein Winter Wheat,High Point,15,German Wheat and Rye Beer,C,Weizenbock,,,,,,2008,CLASSIC
DEL,525,ADD,Capital Weizen Doppelbock,Capital,15,German Wheat and Rye Beer,C,Weizenbock,,,,,,2008,CLASSIC
DEL,526,ADD,Eisenbahn Vigorosa,Eisenbahn,15,German Wheat and Rye Beer,C,Weizenbock,,,,,,2008,CLASSIC
DEL,527,420,Paulaner Roggen,Paulaner,15,German Wheat and Rye Beer,D,Roggenbier,,,,,,2004,CLASSIC
DEL,528,421,Bürgerbräu Wolznacher Roggenbier,Bürgerbräu,15,German Wheat and Rye Beer,D,Roggenbier,,,,,,2004,CLASSIC
DEL,532,423,Vuuve 5,Vuuve,16,Belgian and French Ale,A,Witbier,,,,,,2004,CLASSIC
DEL,533,426,Brugs Tarwebier (Blanche de Bruges),Brugs,16,Belgian and French Ale,A,Witbier,,,,,,2004,CLASSIC
DEL,538,ADD,Avery White Rascal,Avery,16,Belgian and French Ale,A,Witbier,,,,,,2008,CLASSIC
DEL,539,431,Unibroue Blanche de Chambly,Unibroue,16,Belgian and French Ale,A,Witbier,,,,,,2004,CLASSIC
DEL,540,427,Sterkens White Ale,Sterkens,16,Belgian and French Ale,A,Witbier,,,,,,2004,CLASSIC
DEL,541,ADD,Bell's Winter White Ale,Bell's,16,Belgian and French Ale,A,Witbier,,,,,,2008,CLASSIC
DEL,542,ADD,Victory Whirlwind Witbier,Victory,16,Belgian and French Ale,A,Witbier,,,,,,2008,CLASSIC
DEL,543,ADD,Hitachino Nest White Ale,Hitachino,16,Belgian and French Ale,A,Witbier,,,,,,2008,CLASSIC
DEL,546,435,Dobble Palm,Dobble Palm,16,Belgian and French Ale,B,Belgian Pale Ale,,,,,,2004,CLASSIC
DEL,548,436,Ginder Ale,Ginder,16,Belgian and French Ale,B,Belgian Pale Ale,,,,,,2004,CLASSIC
DEL,549,437,Op-Ale,Op-Ale,16,Belgian and French Ale,B,Belgian Pale Ale,,,,,,2004,CLASSIC
DEL,550,ADD,St. Pieters Zinnebir,St. Pieters,16,Belgian and French Ale,B,Belgian Pale Ale,,,,,,2008,CLASSIC
DEL,551,439,Brewer's Art House Pale Ale,Brewer's Art,16,Belgian and French Ale,B,Belgian Pale Ale,,,,,,2004,CLASSIC
DEL,552,ADD,Avery Karma,Avery,16,Belgian and French Ale,B,Belgian Pale Ale,,,,,,2008,CLASSIC
DEL,553,ADD,Eisenbahn Pale Ale,Eisenbahn,16,Belgian and French Ale,B,Belgian Pale Ale,,,,,,2008,CLASSIC
DEL,554,440,Ommegang Rare Vos ,Ommegang,16,Belgian and French Ale,B,Belgian Pale Ale,,,,,,2004,CLASSIC
DEL,556,ADD,Vieille Provision,?,16,Belgian and French Ale,C,Saison,,,,,,2008,CLASSIC
DEL,562,449,Ellezelloise Saison 2000,Ellezelloise,16,Belgian and French Ale,C,Saison,,,,,,2004,CLASSIC
DEL,563,445,Saison Silly,?,16,Belgian and French Ale,C,Saison,,,,,,2004,CLASSIC
DEL,564,451,Southampton Saison,Southampton,16,Belgian and French Ale,C,Saison,,,,,,2004,CLASSIC
DEL,565,452,New Belgium Saison,New Belgium,16,Belgian and French Ale,C,Saison,,,,,,2004,CLASSIC
DEL,566,ADD,Pizza Port SPF 45,Pizza Port,16,Belgian and French Ale,C,Saison,,,,,,2008,CLASSIC
DEL,567,ADD,Lost Abbey Red Barn Ale,Lost Abbey,16,Belgian and French Ale,C,Saison,,,,,,2008,CLASSIC
DEL,568,ADD,Ommegang Hennepin,Ommegang,16,Belgian and French Ale,C,Saison,,,,,,2008,CLASSIC
DEL,575,459,La Choulette Bière des Sans Culottes (blond),La Choulette,16,Belgian and French Ale,D,Biere de Garde,,,,,,2004,CLASSIC
DEL,577,461,Biere Nouvelle (brown),Biere Nouvelle,16,Belgian and French Ale,D,Biere de Garde,,,,,,2004,CLASSIC
DEL,578,462,Castelain (blonde),Castelain,16,Belgian and French Ale,D,Biere de Garde,,,,,,2004,CLASSIC
DEL,579,463,Jade (amber),Jade,16,Belgian and French Ale,D,Biere de Garde,,,,,,2004,CLASSIC
DEL,580,464,Brasseurs Bi̬re de Garde (amber) ,Brasseurs,16,Belgian and French Ale,D,Biere de Garde,,,,,,2004,CLASSIC
DEL,581,ADD,Southampton Bière de Garde (amber),Southampton,16,Belgian and French Ale,D,Biere de Garde,,,,,,2008,CLASSIC
DEL,582,ADD,Lost Abbey Avante Garde (blond),Lost Abbey,16,Belgian and French Ale,D,Biere de Garde,,,,,,2008,CLASSIC
DEL,583,465,Orval,Orval,16,Belgian and French Ale,E,Belgian Specialty Ale,,,,,,2004,CLASSIC
DEL,584,466,De Dolle's Arabier,De Dolle's,16,Belgian and French Ale,E,Belgian Specialty Ale,,,,,,2004,CLASSIC
